project_id,start_date,end_date,duration_days,budget,spent_amount,complexity,team_size,scope_changes,quality_score,success
63,2019-12-21,2020-11-03,318,487113.2,489338.9,High,6,5,84.1,1
64,2018-12-04,2019-09-13,283,605527.8,644112.32,Low,22,1,74.3,0
65,2020-05-28,2021-02-03,251,430285.46,512947.66,Medium,10,1,85.9,1
66,2020-12-12,2021-02-02,52,712784.2,657356.8,Medium,13,3,64.9,1
67,2020-03-02,2020-12-06,279,221063.91,235387.77,Medium,5,0,95.5,0
68,2018-08-05,2018-09-13,39,711676.39,835404.55,Low,13,1,80.1,1
69,2020-02-03,2020-11-04,275,441078.15,512130.02,Low,29,0,78.0,1
70,2018-07-07,2019-06-26,354,880601.72,527266.7,High,20,0,83.4,1
71,2019-01-15,2019-05-24,129,539474.25,423203.85,High,17,3,85.0,0
72,2019-05-08,2020-03-22,319,974454.83,708226.99,Medium,13,3,62.9,1
73,2020-11-30,2021-06-27,209,621838.63,348756.65,Medium,25,1,87.3,1
74,2018-01-15,2018-09-24,252,262656.61,247755.72,Medium,17,2,69.7,0
75,2018-03-06,2018-12-10,279,830701.11,843272.3,Medium,13,0,88.6,0
76,2019-06-05,2019-11-28,176,377828.5,413227.13,Low,15,0,92.9,1
77,2019-10-10,2020-02-12,125,380238.25,222798.25,Low,8,4,92.2,0
78,2020-12-22,2021-10-04,286,80214.45,89319.66,High,6,1,82.1,0
79,2019-08-16,2020-08-04,354,571279.54,542742.92,Low,10,4,80.8,0
80,2019-01-27,2019-03-01,33,557702.33,553665.84,High,18,4,65.7,1
81,2019-02-23,2019-04-09,45,388191.91,441543.76,Low,8,4,91.0,0
82,2018-10-16,2019-08-21,309,899506.4,843136.93,Low,10,2,70.9,0
83,2019-01-14,2019-10-17,276,172310.98,126666.85,Low,23,2,79.9,1
84,2018-08-19,2019-06-02,287,363594.54,391800.43,Medium,10,3,71.4,1
85,2020-10-14,2021-04-21,189,355503.63,268100.02,High,6,2,65.4,1
86,2018-02-10,2018-08-10,181,137676.06,72136.7,Low,22,5,85.2,1
87,2020-11-17,2021-06-12,207,507088.12,548394.58,High,17,5,62.2,0
88,2018-05-15,2018-11-23,192,703395.48,521662.36,Medium,13,1,89.9,1
89,2018-07-20,2018-09-20,62,536074.16,558419.96,High,27,2,72.7,1
90,2020-02-19,2020-09-14,208,199128.8,150129.28,Low,23,1,60.0,1
91,2020-07-18,2020-11-25,130,408421.67,450386.02,High,17,2,80.4,1
92,2020-11-22,2021-09-15,297,52465.27,34294.31,Medium,15,4,61.9,0
93,2020-12-07,2021-11-24,352,874886.05,1034275.49,Low,5,2,71.0,1
94,2019-05-18,2019-08-20,94,130291.16,136262.55,Low,28,4,88.3,1
95,2019-02-11,2019-08-27,197,617414.18,358079.57,High,26,1,62.5,1
96,2020-03-15,2021-03-09,359,986944.15,884345.02,High,11,3,93.6,1
97,2018-04-09,2018-06-20,72,559761.11,665979.77,Low,29,2,60.2,1
98,2019-11-15,2020-01-27,73,927839.67,769871.08,Medium,25,3,69.9,0
99,2019-12-27,2020-11-05,314,274310.71,172123.11,High,19,3,89.6,0
100,2020-08-18,2020-09-28,41,771957.64,647938.67,High,5,1,72.7,1
101,2019-09-05,2020-01-07,124,554702.47,476334.3,High,16,3,64.1,0
102,2019-10-05,2020-08-31,331,734490.26,748578.42,Medium,30,1,74.4,0
103,2020-10-25,2021-08-03,282,109224.29,108043.8,Medium,11,3,70.8,0
104,2019-05-18,2020-02-13,271,190352.14,148814.45,Low,19,4,93.7,1
105,2020-02-06,2020-04-10,64,176461.08,115161.36,Low,25,2,72.5,1
106,2019-02-02,2019-10-04,244,702807.23,668747.73,Medium,23,3,91.6,1
107,2020-05-20,2020-09-16,119,852218.64,677678.09,Medium,29,3,95.7,0
108,2020-03-05,2020-12-23,293,762135.42,451636.38,Low,5,3,77.4,0
109,2019-01-28,2019-05-30,122,78948.55,89243.49,High,21,3,96.4,1
110,2018-07-26,2018-11-22,119,873854.23,859746.12,Medium,21,1,75.1,1
111,2020-11-04,2021-03-28,144,386439.34,378026.05,Medium,7,0,98.6,0
112,2020-06-10,2020-10-22,134,427305.64,459699.13,Medium,16,4,63.6,0
113,2020-05-13,2020-12-24,225,149625.71,130288.56,Medium,10,1,87.5,0
114,2020-01-13,2020-12-21,343,750534.95,803476.26,Low,30,2,79.8,0
115,2019-07-18,2019-12-08,143,223169.68,189395.97,Low,15,1,75.5,1
116,2020-10-17,2021-01-29,104,585766.84,320427.81,Low,7,5,85.3,0
117,2018-04-06,2018-12-08,246,848674.49,665083.85,Low,12,1,88.2,0
118,2019-04-30,2020-03-01,306,134744.11,114293.38,Medium,18,2,60.2,1
119,2018-08-19,2019-05-24,278,558568.79,560882.27,Medium,18,2,66.7,0
120,2020-01-19,2020-07-30,193,271555.59,156037.23,Low,14,1,88.5,0
121,2019-06-25,2020-02-01,221,375780.52,224721.63,Medium,6,0,86.7,1
122,2020-11-25,2021-08-08,256,500271.44,342475.15,Low,18,0,98.6,0
123,2019-06-09,2020-01-01,206,387349.09,265934.08,High,13,2,90.4,0
124,2019-08-01,2019-12-07,128,666381.7,674730.93,High,7,2,98.0,0
125,2019-11-13,2020-01-17,65,505603.0,341540.62,Low,25,3,88.1,1
126,2019-07-11,2019-11-13,125,604989.51,570607.14,Medium,30,3,71.9,1
127,2020-10-09,2021-04-08,181,749981.35,634477.99,Low,12,0,64.2,0
128,2019-10-08,2020-04-05,180,579855.15,522626.96,Medium,20,3,91.3,1
129,2020-03-06,2020-10-11,219,607208.66,659838.39,Medium,6,1,85.8,0
130,2020-11-17,2021-07-28,253,586235.62,459061.8,Low,10,1,61.9,0
131,2018-07-09,2018-09-13,66,409833.99,426078.97,Medium,25,3,74.4,1
132,2019-09-25,2020-07-18,297,370574.49,294764.3,Low,30,0,98.3,1
133,2019-09-20,2020-04-19,212,904665.03,676427.06,Low,29,1,80.0,1
134,2020-08-30,2020-10-11,42,627177.46,734449.28,Medium,16,2,77.3,1
135,2019-12-11,2020-10-14,308,282135.5,177480.06,Low,9,2,78.3,0
136,2019-10-11,2020-06-13,246,523335.31,294761.22,Medium,6,1,68.4,0
137,2018-11-14,2019-09-25,315,363831.06,378271.57,Medium,20,1,74.7,0
138,2019-11-15,2020-09-12,302,937007.23,513268.94,High,9,0,74.8,0
139,2019-10-26,2020-01-25,91,57157.64,62070.64,Low,19,1,62.1,1
140,2019-03-18,2019-07-09,113,264066.16,212846.67,Medium,16,2,90.7,0
141,2019-07-18,2020-03-20,246,397088.98,453022.76,Medium,8,1,76.7,0
142,2020-08-09,2021-03-13,216,513419.31,516023.89,Low,19,4,92.9,0
143,2019-11-30,2020-01-17,48,858276.64,795865.57,High,15,1,94.0,0
144,2018-04-23,2018-11-15,206,133493.24,155454.85,Medium,20,3,68.5,1
145,2018-01-02,2018-05-11,129,815571.64,634233.01,Medium,27,1,86.3,0
146,2019-10-04,2020-06-22,262,102870.81,120138.79,Medium,10,3,78.9,1
147,2018-08-08,2018-11-21,105,850198.33,505443.67,High,18,0,95.2,1
148,2020-05-04,2021-02-22,294,99053.7,83069.25,High,22,1,68.6,1
149,2019-01-20,2019-11-29,313,67330.36,46386.43,Medium,16,2,87.1,0
150,2020-12-12,2021-08-04,235,712113.39,625157.18,Medium,15,1,84.3,0
151,2019-12-31,2020-09-08,252,997392.76,611810.41,Low,17,2,71.8,0
152,2018-09-04,2018-11-24,81,901779.75,982101.96,Low,25,2,65.5,0
153,2020-04-15,2020-10-05,173,597198.5,652430.7,Medium,27,2,86.1,0
154,2018-07-22,2018-10-28,98,921525.83,1076955.37,Low,15,4,89.5,0
155,2018-05-03,2018-09-08,128,55035.01,33476.17,Medium,27,2,72.6,1
156,2019-02-05,2019-03-31,54,976313.8,914154.62,Low,20,3,85.8,1
157,2020-02-06,2020-04-28,82,516211.34,429470.34,Low,19,2,75.8,1
158,2018-10-21,2019-04-19,180,736751.29,545983.26,Medium,25,1,88.5,0
159,2018-10-07,2019-03-29,173,829818.4,619109.35,High,19,2,68.0,0
160,2020-06-02,2020-08-27,86,732534.41,577937.04,Low,29,4,95.6,1
161,2018-07-17,2018-09-23,68,558284.9,554626.95,Medium,8,2,71.5,1
162,2020-09-08,2021-01-24,138,502788.51,461962.2,High,15,0,74.7,0
163,2020-01-22,2020-08-19,210,846653.43,695760.37,Low,23,3,62.3,1
164,2018-05-24,2018-08-03,71,244823.68,135425.05,High,19,0,64.5,0
165,2019-09-01,2020-04-03,215,969594.36,537577.77,Low,8,5,80.6,0
166,2018-07-06,2019-03-15,252,725404.85,363890.33,Low,25,2,70.7,1
167,2019-04-09,2019-09-07,151,239531.58,282021.98,High,17,3,93.4,1
168,2019-10-22,2020-04-01,162,749434.82,377473.59,Low,26,2,60.6,0
169,2020-02-03,2020-08-13,192,553348.02,316606.71,Medium,23,5,75.2,0
170,2020-08-12,2021-04-13,244,721868.59,519902.46,High,6,2,73.5,0
171,2019-02-07,2019-10-15,250,779390.53,830207.71,Low,18,2,60.8,0
172,2018-05-27,2019-02-15,264,132925.67,155984.17,Medium,8,1,65.0,1
173,2020-05-13,2021-05-08,360,530798.76,558936.13,High,20,1,76.5,1
174,2019-05-04,2019-10-26,175,935413.63,919878.43,Low,25,6,79.7,0
175,2020-07-17,2021-04-11,268,354610.08,306705.97,High,24,1,76.2,0
176,2019-07-05,2019-10-18,105,614188.94,344371.84,Medium,18,2,81.2,1
177,2018-12-04,2019-01-11,38,400768.96,469188.06,Medium,19,0,83.8,0
178,2020-05-21,2020-09-01,103,481554.57,496422.42,Medium,7,4,60.4,0
179,2019-10-03,2020-07-11,282,571172.96,541051.91,Low,12,2,78.6,1
180,2019-04-18,2020-01-02,259,571475.88,589377.41,High,20,3,98.5,1
181,2018-05-31,2018-07-06,36,241643.94,243304.6,High,14,3,80.8,0
182,2018-09-20,2019-04-11,203,700342.97,662567.95,Medium,8,3,87.1,1
183,2018-05-24,2018-11-10,170,133474.71,158354.9,Medium,22,2,72.5,1
184,2018-12-12,2019-06-27,197,181883.53,205956.66,Medium,6,1,91.0,1
185,2019-09-16,2020-04-02,199,52575.35,50086.72,Medium,21,2,90.9,0
186,2020-10-13,2021-08-21,312,160861.26,158484.16,Medium,17,3,80.9,0
187,2020-05-30,2020-10-28,151,499507.89,267794.7,Medium,8,3,99.0,0
188,2018-01-02,2018-08-13,223,625796.79,606360.93,Medium,30,3,65.0,1
189,2020-06-15,2020-07-19,34,804574.98,427161.57,Medium,29,2,60.7,0
190,2018-09-11,2018-11-08,58,151364.29,138011.63,Medium,15,3,90.8,0
191,2019-03-29,2019-10-09,194,858191.09,1029440.93,Low,11,2,92.3,0
192,2020-11-26,2021-05-10,165,758675.8,674511.8,Low,16,0,64.8,0
193,2020-10-11,2021-09-26,350,438092.38,364163.01,Medium,14,4,70.6,1
194,2018-01-09,2018-07-02,174,936291.16,673191.85,Medium,11,3,60.7,0
195,2020-03-26,2021-03-17,356,991383.0,579330.33,Medium,17,2,71.7,1
196,2018-07-27,2019-03-30,246,244751.72,247619.37,Medium,11,3,90.9,0
197,2019-02-08,2020-01-04,330,410267.16,260445.52,Medium,28,2,80.7,1
198,2018-06-01,2018-11-09,161,930126.95,540122.32,Medium,21,1,73.9,1
199,2018-02-23,2019-01-10,321,735516.72,584907.8,Low,14,4,74.9,1
200,2019-09-20,2019-12-28,99,95689.91,101119.29,Medium,14,3,60.1,0
201,2019-08-10,2020-05-17,281,792438.76,809512.0,Medium,28,4,72.0,1
202,2018-04-14,2019-02-12,304,836543.84,450410.12,High,8,1,85.9,0
203,2018-09-11,2019-04-10,211,762976.83,624573.28,Medium,24,2,99.0,1
204,2019-05-25,2019-12-07,196,809560.27,700839.73,Low,8,1,93.9,1
205,2018-04-09,2018-08-07,120,833876.04,793168.43,Low,26,2,60.9,0
206,2018-06-02,2019-01-19,231,227084.74,216892.53,Low,11,1,95.9,1
207,2020-07-02,2020-08-19,48,273907.16,206878.81,Medium,26,1,91.3,1
208,2020-05-27,2020-08-03,68,652070.64,581956.12,Low,5,5,91.2,0
209,2018-12-04,2019-05-08,155,912472.82,763505.54,Medium,16,0,78.3,1
210,2020-04-01,2020-10-20,202,350386.75,392257.56,Medium,28,2,75.9,1
211,2020-08-14,2021-01-31,170,608891.34,530457.36,Low,17,4,72.1,1
212,2018-06-10,2019-03-08,271,698832.96,565161.95,Medium,14,2,62.6,0
213,2020-03-11,2020-11-15,249,479351.17,375398.99,Low,19,0,69.1,0
214,2019-02-02,2019-07-07,155,728093.33,655793.25,Medium,17,5,69.9,0
215,2020-03-26,2020-06-21,87,904684.07,961483.65,Low,27,2,79.4,0
216,2019-02-05,2019-08-01,177,642896.47,563743.73,High,26,4,89.9,1
217,2019-10-02,2020-09-12,346,562792.01,542057.98,Low,26,3,79.0,1
218,2020-11-22,2020-12-22,30,466807.44,474509.31,High,25,1,62.3,0
219,2019-11-19,2020-06-25,219,598611.96,517271.18,Medium,26,2,98.3,1
220,2019-04-05,2019-11-11,220,387594.33,309599.47,High,13,5,97.7,1
221,2020-08-12,2021-07-19,341,421908.0,469864.5,Medium,30,1,91.4,1
222,2019-04-15,2019-09-08,146,555264.61,439910.75,Medium,13,1,99.7,1
223,2020-11-11,2021-04-23,163,113288.16,93276.94,Medium,19,1,81.8,0
224,2020-01-20,2020-04-16,87,267574.12,319279.85,Medium,14,3,98.5,1
225,2018-02-07,2018-04-21,73,565706.85,282947.48,Medium,28,2,63.0,1
226,2018-08-18,2019-03-08,202,459951.74,289691.88,Medium,30,1,74.6,1
227,2019-07-17,2020-01-22,189,366175.0,281506.08,Medium,29,0,69.0,0
228,2019-03-14,2019-10-02,202,744021.68,857717.82,Low,14,1,67.8,1
229,2018-01-27,2019-01-08,346,709031.73,389273.16,Low,12,0,65.6,1
230,2018-08-14,2019-07-12,332,208394.22,105580.81,Medium,28,3,84.9,0
231,2020-03-08,2020-09-02,178,884697.66,474975.32,Medium,20,2,91.3,0
232,2018-10-11,2019-01-28,109,520652.45,292596.47,Medium,21,0,83.1,1
233,2020-05-28,2021-01-25,242,754387.87,397047.72,Medium,30,1,65.9,1
234,2020-08-17,2021-04-06,232,594493.31,496905.41,High,9,3,92.4,1
235,2019-03-29,2020-01-04,281,997807.99,904542.92,Low,8,2,85.4,1
236,2020-10-16,2021-07-01,258,764782.96,527838.58,Low,22,1,75.5,1
237,2020-03-26,2020-10-05,193,721631.44,562007.41,Low,28,3,87.0,1
238,2019-10-21,2020-07-03,256,789643.34,445508.51,Medium,23,4,70.4,1
239,2019-07-01,2019-12-24,176,185971.59,136774.54,High,8,0,73.8,1
240,2020-12-08,2021-01-26,49,244317.36,211521.04,Low,11,1,96.7,0
241,2018-01-17,2018-04-03,76,728360.88,737531.14,Medium,14,1,71.6,0
242,2018-06-07,2019-02-24,262,519282.41,260857.6,Medium,29,2,78.8,0
243,2019-04-22,2020-03-21,334,766903.53,634319.36,Medium,22,2,95.6,1
244,2020-12-05,2021-01-17,43,147770.23,104606.84,Medium,23,0,88.3,1
245,2019-06-02,2019-11-21,172,559657.28,613930.2,Low,8,2,62.5,0
246,2018-04-09,2018-05-09,30,409880.49,410244.19,Medium,14,0,65.9,1
247,2020-11-26,2021-02-17,83,484150.21,441727.02,Medium,5,4,60.3,1
248,2018-10-07,2019-07-22,288,623759.98,432943.04,Low,27,1,85.2,0
249,2019-05-12,2019-11-01,173,527173.93,599521.89,Medium,22,5,77.9,0
250,2018-10-29,2018-12-09,41,562867.61,299203.8,Low,9,1,65.4,0
251,2018-06-30,2019-06-24,359,512039.61,295256.03,Medium,19,1,98.3,1
252,2019-08-30,2020-05-09,253,438507.42,339466.62,Medium,21,0,81.2,1
253,2019-12-01,2020-09-27,301,783287.88,459873.24,Medium,7,1,69.7,0
254,2020-09-19,2021-03-23,185,61592.92,72032.36,Medium,16,2,80.0,1
255,2018-07-10,2018-08-16,37,618520.57,654761.25,Low,6,0,87.2,0
256,2018-09-10,2019-02-08,151,587232.93,400074.66,Medium,5,3,63.0,0
257,2020-09-07,2021-03-19,193,730370.12,666088.76,Low,27,4,71.0,0
258,2020-07-16,2020-11-12,119,619077.9,735236.33,Low,25,2,92.3,1
259,2018-05-08,2018-10-20,165,835458.89,934827.77,High,21,5,78.4,1
260,2018-01-18,2018-08-21,215,961121.05,884768.55,Low,26,2,81.9,0
261,2019-07-20,2020-06-29,345,375398.04,425178.36,Medium,20,3,77.3,0
262,2019-07-24,2020-02-16,207,265983.43,317166.47,Medium,9,1,61.8,0
263,2019-11-17,2020-01-13,57,452417.02,461622.34,Low,19,2,66.6,1
264,2019-09-18,2020-05-24,249,323533.14,176484.25,Low,7,0,77.8,1
265,2020-05-03,2020-07-12,70,634202.75,495379.68,Low,11,3,68.4,0
266,2020-08-19,2021-05-03,257,916259.79,995496.12,High,15,1,62.0,0
267,2018-06-04,2019-01-11,221,182160.38,120480.59,Medium,14,3,93.7,0
268,2019-05-05,2019-10-26,174,145754.87,157626.57,Low,13,3,99.2,1
269,2020-02-24,2020-10-11,230,293214.76,171306.95,Medium,18,1,91.7,0
270,2018-09-03,2019-05-02,241,739790.81,394206.23,Medium,17,3,94.2,0
271,2020-11-28,2021-08-04,249,613314.76,471555.29,Low,29,0,69.7,0
272,2020-01-29,2020-10-24,269,147102.03,77333.35,Medium,29,1,98.4,1
273,2019-06-22,2019-09-05,75,922813.0,1079773.51,Medium,6,0,67.9,1
274,2020-07-09,2020-09-11,64,800580.41,863301.07,High,7,2,98.1,0
275,2019-02-12,2019-11-21,282,71871.47,76222.48,Low,11,1,99.8,1
276,2019-06-09,2019-09-28,111,668798.85,629235.75,Low,25,4,88.5,1
277,2020-04-07,2021-01-17,285,782684.34,509861.57,Low,22,3,99.2,0
278,2020-06-21,2021-02-02,226,405713.6,350042.5,Medium,7,1,82.8,1
279,2018-02-05,2019-01-03,332,115475.46,106017.08,Low,14,1,70.4,0
280,2019-11-16,2019-12-25,39,123455.01,107099.94,Medium,26,4,77.5,1
281,2018-01-20,2018-12-27,341,149034.62,101665.96,Medium,11,1,83.7,0
282,2018-11-17,2019-09-28,315,848417.65,730210.63,Medium,13,1,62.9,0
283,2019-05-27,2020-02-22,271,915151.89,772233.02,Medium,21,1,84.9,1
284,2019-02-04,2019-11-11,280,166670.24,199576.79,High,15,3,99.2,1
285,2019-10-16,2019-11-19,34,274110.73,309253.18,Medium,11,1,67.6,1
286,2020-08-29,2021-01-24,148,207244.48,170845.41,Medium,28,2,91.7,1
287,2019-04-16,2020-02-28,318,227004.84,212489.28,Low,18,5,96.3,0
288,2020-04-13,2020-07-16,94,845616.25,865496.79,High,23,1,97.7,0
289,2019-12-28,2020-06-20,175,365539.09,191690.75,Low,8,2,98.4,1
290,2020-05-03,2021-01-11,253,345872.05,389605.84,Low,30,5,80.9,1
291,2018-02-20,2018-11-15,268,266025.84,293184.09,Low,10,1,99.1,1
292,2019-07-29,2020-02-20,206,627499.67,514676.78,Medium,14,4,90.3,0
293,2018-05-30,2019-03-22,296,410340.41,317529.14,Low,11,4,66.5,1
294,2018-11-10,2019-09-17,311,757037.17,523166.86,Low,17,1,79.1,0
295,2019-07-24,2019-10-24,92,245300.82,204500.86,Low,18,2,88.7,0
296,2018-11-01,2019-07-05,246,798400.39,424001.44,Low,8,3,69.9,0
297,2019-11-13,2020-10-22,344,623535.46,683728.75,Medium,12,6,85.6,1
298,2020-04-17,2021-02-23,312,158553.94,83208.42,Medium,9,0,86.7,0
299,2020-12-13,2021-07-07,206,443779.35,324108.02,Low,5,4,66.5,1
300,2020-09-29,2021-02-03,127,870342.23,1002732.29,Medium,8,3,82.6,1
